temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion
217.44134,0.05736713579561551,0.0001471841220413717,2.5213080296770876e-37,9.582652304240574e-14,0.017486699594585098,0.000120222537680071,9.151598687938851e-51,2.926085027080428e-17,0.008865566514006709,6.903958960454817e-05,2.127696869569911e-73,7.760536210276818e-14
218.39625,0.060238599996942,0.00016192840220241085,4.987121178042169e-37,1.1643639383196555e-13,0.01846349816335587,0.00013017655857998004,2.0281088821556995e-50,3.618245693606538e-17,0.009314947095690248,7.391430463290579e-05,5.532077626630214e-73,8.894078603878186e-14
219.35117,0.06324124209144985,0.0001781493059644309,9.864484249239379e-37,1.4151940087808299e-13,0.019492928204922728,0.00014095875401876155,4.494561403366533e-50,4.473861211411409e-17,0.009786705103823706,7.913305147831696e-05,1.4368448268117618e-72,1.0194560877264485e-13
220.30608,0.06637985616168555,0.00019599460237440077,1.9511850704403172e-36,1.7203705945085917e-13,0.020577609648449822,0.00015263282973017485,9.96051099035413e-50,5.5312728419061074e-17,0.010281913623218113,8.472009969199651e-05,3.7348018378274665e-72,1.168465387830774e-13
221.261,0.06965930495211156,0.00021562687294627642,3.8594360302205646e-36,2.0903449484388236e-13,0.021720270459169896,0.00016527032725323186,2.2073825858124077e-49,6.838911652136193e-17,0.010801693560974563,9.07014512080678e-05,9.71750037413197e-72,1.3391150427220345e-13
222.21591,0.07308450469575249,0.00023722491869074624,7.633917037325663e-36,2.539748824681761e-13,0.022923746015518512,0.00017895407996825326,4.891842712303664e-49,8.455298514781716e-17,0.011347214297933377,9.710492129603521e-05,2.5237471472495114e-71,1.5349087288895436e-13
223.17083,0.07666042076472177,0.0002609854454585518,1.5099841456194736e-35,3.0853042279348147e-13,0.0241909831266183,0.00019377067989385146,1.0840982623181603e-48,1.0453080030411013e-16,0.011919696383304682,0.00010396028427523431,6.5555352520668695e-71,1.7595562214396334e-13
224.12574,0.0803920501727217,0.00028712476474567465,2.986735654181073e-35,3.7500039146569267e-13,0.025525038630830946,0.00020981383816438663,2.402498942779566e-48,1.2914992605226916e-16,0.012520412156506242,0.0001112994192292821,1.703186619442228e-70,2.0171794927126716e-13
225.08066,0.08428441579788046,0.00031588083465955956,5.907737622977465e-35,4.556840641307037e-13,0.02692908294609215,0.0002271850698666044,5.324247552571411e-48,1.5962113906843318e-16,0.01315068861946199,0.00011915647191102187,4.425414582306572e-70,2.3119005150490273e-13
226.03557,0.08834254652790388,0.00034751531634720403,1.168545345372628e-34,5.537168166692794e-13,0.02840639757844848,0.0002459942196119394,1.1799209830199948e-47,1.9735701214143103e-16,0.013811907880771907,0.00012756796807598432,1.1498966829134413e-69,2.649902246959254e-13
226.99049,0.09257147008842481,0.00038231604789361096,2.3113760100336054e-34,6.728611001383371e-13,0.029960378142956406,0.00026636024193175397,2.6148655501838947e-47,2.439719141727813e-16,0.01450551005762189,0.00013657302395881586,2.9879343697560234e-69,3.037367646953904e-13
227.9454,0.09697619109642351,0.00042059951822024164,4.571879356957207e-34,8.177154658296653e-13,0.03159453062648765,0.00028841188611397584,5.794879021280225e-47,3.0168560240207217e-16,0.015232993719953613,0.00014621350817822332,7.763955153162792e-69,3.4804796735435295e-13
228.90032,0.10156168246088715,0.0004627138357631594,9.04316797991334e-34,9.937145652699225e-13,0.03331247366118925,0.000312288588083371,1.2842235572263872e-46,3.7312142629427124e-16,0.01599591879237441,0.00015653425221340197,2.017427475206584e-68,3.989543257579053e-13
229.85523,0.10633286144410506,0.0005090417126130385,1.7887295899227526e-33,1.2069201251619207e-12,0.03511793332355436,0.0003381412189439151,2.8459991311864033e-46,4.613063275397261e-16,0.01679590679104786,0.00016758322849947486,5.242177082909058e-68,4.572802343741212e-13
230.81015,0.1112945801990739,0.0005600040980535168,3.538094597876388e-33,1.4661111979718008e-12,0.037014744442440364,0.0003661331839027011,6.3071015018298075e-46,5.704780245049231e-16,0.017634643873660278,0.00017941180947540438,1.3621559672184014e-67,5.240561862880927e-13
231.76506,0.11645159993827404,0.0006160637038664915,6.99830399283408e-33,1.781739036635445e-12,0.039006843716402076,0.0003964413141502117,1.3977336925043235e-45,7.054796238944181e-16,0.018513880661752767,0.00019207496186992584,3.539485254482651e-67,6.007248718189489e-13
232.71998,0.12180858074062875,0.0006777294264256036,1.3842621917672764e-32,2.1642548940887357e-12,0.04109826990055146,0.00042925707726926087,3.0975675263578794e-45,8.723650090889059e-16,0.01943543543874433,0.00020563155432094248,9.197190589545138e-67,6.885228826688005e-13
