temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
270.70758;74.84018;81.40581;87.63417;0.707938007;0.62667309;0.277356775;0.011716805;0.139931878;0.489858883;7.55E-02;4.15E-65;1.09E-13;4.51E-12;0.717006948;0.050796675;0.265170058;0.28955688;3.28E-02;7.03E-52;2.17E-16;1.65E-11;0.638345466;0.116571116;0.105203675;0.045622497;4.54E-03;2.78E-56;3.57E-28;4.47E-16;0.271934191
271.6625;74.14124;80.80539;87.39514;0.717972158;0.638750832;0.283680543;0.010458226;0.127548669;0.511854934;7.89E-02;2.80E-64;1.49E-13;5.72E-12;0.728736898;0.046431739;0.258662189;0.314194208;3.45E-02;2.32E-51;2.98E-16;1.99E-11;0.653795395;0.108468271;0.111945935;0.049807955;4.85E-03;8.05E-56;5.76E-28;5.67E-16;0.27507644
272.61741;73.47154;80.19796;87.12332;0.733746653;0.654766664;0.287439224;0.009330693;0.115540244;0.532661972;8.24E-02;1.89E-63;2.05E-13;7.27E-12;0.739919836;0.042382893;0.250361007;0.338777281;3.63E-02;7.65E-51;4.10E-16;2.41E-11;0.667794836;0.10057622;0.118838383;0.054339014;5.19E-03;2.32E-55;9.29E-28;7.20E-16;0.278947253
273.57233;72.77382;79.57068;86.84219;0.748355797;0.664769601;0.294353147;0.008321313;0.104059122;0.552123764;8.60E-02;1.28E-62;2.82E-13;9.23E-12;0.75054339;0.038637374;0.240429643;0.362998903;3.81E-02;2.52E-50;5.64E-16;2.92E-11;0.680190315;0.092945552;0.125843248;0.059237119;5.56E-03;6.72E-55;1.50E-27;9.14E-16;0.283582394
274.52724;72.0635;78.93014;86.57008;0.758731863;0.679313228;0.298599864;0.007418354;0.09322062;0.570058487;8.98E-02;8.63E-62;3.88E-13;1.17E-11;0.76053342;0.035181186;0.22907448;0.386568114;4.01E-02;8.32E-50;7.75E-16;3.53E-11;0.690886613;0.085618883;0.132917151;0.064523497;5.94E-03;1.94E-54;2.41E-27;1.16E-15;0.289003908
275.48216;71.32648;78.28183;86.26103;0.768238596;0.690407019;0.309483141;0.006611093;0.083103641;0.586207059;9.38E-02;5.83E-61;5.33E-13;1.49E-11;0.769703264;0.03199923;0.216537424;0.409225165;4.21E-02;2.75E-49;1.07E-15;4.28E-11;0.699854287;0.078629951;0.140011807;0.070219285;6.36E-03;5.61E-54;3.89E-27;1.47E-15;0.295220084
276.43707;70.60068;77.6396;85.9806;0.7724;0.700539999;0.320273122;0.005889823;0.073755082;0.600132541;9.79E-02;3.94E-60;7.33E-13;1.89E-11;0.777657239;0.029075967;0.203087295;0.430749239;4.42E-02;9.06E-49;1.47E-15;5.18E-11;0.707129285;0.07200429;0.147073671;0.07634475;6.80E-03;1.62E-53;6.27E-27;1.87E-15;0.302224968
277.39199;69.859;76.96023;85.6679;0.778816864;0.711217522;0.326396067;0.005245714;0.065193574;0.611042468;1.02E-01;2.66E-59;1.01E-12;2.40E-11;0.783616875;0.02639548;0.18900717;0.450965887;4.64E-02;2.99E-48;2.01E-15;6.26E-11;0.712807946;0.065759014;0.154044867;0.082919388;7.28E-03;4.68E-53;1.01E-26;2.37E-15;0.309999218
278.3469;69.12003;76.27105;85.36968;0.779408888;0.718550634;0.334770027;0.004670803;0.057415297;0.617478623;1.07E-01;1.79E-58;1.39E-12;3.04E-11;0.786116146;0.023941983;0.174582748;0.469746276;4.88E-02;9.86E-48;2.77E-15;7.58E-11;0.717034938;0.05990398;0.160863041;0.089960979;7.78E-03;1.35E-52;1.63E-26;3.01E-15;0.318510141
279.30182;68.37486;75.60121;85.04459;0.779730511;0.725701368;0.344226317;0.004157874;5.04E-02;0.616832072;1.11E-01;1.21E-57;1.91E-12;3.87E-11;0.782521023;0.021699817;0.160088483;0.487005394;5.12E-02;3.25E-47;3.81E-15;9.18E-11;0.719987768;0.054442034;0.167462487;0.097485668;8.32E-03;3.91E-52;2.63E-26;3.83E-15;0.327713194
280.25673;67.6434;74.8921;84.72286;0.768435415;0.730821204;0.348757481;0.003700442;4.41E-02;0.604736773;1.16E-01;8.18E-57;2.62E-12;4.91E-11;0.768427998;0.019653828;0.145777312;0.502692672;5.37E-02;1.07E-46;5.23E-15;1.11E-10;0.7218573;0.049370384;0.173774221;0.105506862;8.90E-03;1.13E-51;4.23E-26;4.86E-15;0.337552291
281.21165;66.92008;74.2072;84.36608;0.746907409;0.735773888;0.363856385;0.003292645;3.85E-02;0.574798383;1.21E-01;5.52E-56;3.60E-12;6.23E-11;0.737396673;0.017789308;0.131870241;0.516781297;5.64E-02;3.54E-46;7.20E-15;1.34E-10;0.7228268;0.044681069;0.17972726;0.114035321;9.52E-03;3.26E-51;6.82E-26;6.17E-15;0.347961696
282.16656;66.22075;73.50233;84.03048;0.690738347;0.731333663;0.372471157;0.002929231;3.35E-02;0.519985691;1.26E-01;3.73E-55;4.95E-12;7.91E-11;0.682344745;0.016092266;0.118551248;0.529250009;5.92E-02;1.17E-45;9.89E-15;1.63E-10;0.723048668;0.040362307;0.185248923;0.123077932;1.02E-02;9.42E-51;1.10E-25;7.83E-15;0.358866404
283.12148;65.53724;72.79706;83.67583;0.611167373;0.72908909;0.381087258;0.002605465;2.91E-02;0.437452776;1.31E-01;2.52E-54;6.81E-12;1.00E-10;0.600372801;0.014549338;0.105962995;0.540061304;6.20E-02;3.85E-45;1.36E-14;1.97E-10;0.722618481;0.036398987;0.190266255;0.132637863;1.09E-02;2.72E-50;1.77E-25;9.95E-15;0.370184267
284.07639;64.89206;72.10359;83.31491;0.519534875;0.728157317;0.392439841;0.002317109;2.53E-02;0.335237707;1.37E-01;1.70E-53;9.36E-12;1.28E-10;0.499465136;0.013147971;0.094207811;0.549128727;6.51E-02;1.27E-44;1.87E-14;2.38E-10;0.721543201;0.032773843;0.194706603;0.142713265;1.16E-02;7.87E-50;2.86E-25;1.26E-14;0.381826404
285.03131;64.33151;71.40629;82.94321;0.428353305;0.718127884;0.403766034;0.002060355;2.19E-02;0.232269869;1.42E-01;1.15E-52;1.29E-11;1.62E-10;0.398498679;0.011876318;0.083349021;0.556273177;6.82E-02;4.19E-44;2.57E-14;2.89E-10;0.719698927;0.029467851;0.198499187;0.153297572;1.24E-02;2.27E-49;4.61E-25;1.60E-14;0.393699531
285.98622;63.91438;70.71997;82.56414;0.339632861;0.713708541;0.413914875;0.0018318;1.89E-02;0.147034414;1.48E-01;7.75E-52;1.77E-11;2.06E-10;0.315908418;0.010723355;0.073416145;0.56115872;7.15E-02;1.38E-43;3.53E-14;3.49E-10;0.71677176;0.026461165;0.20157604;0.16437822;1.33E-02;6.57E-49;7.43E-25;2.04E-14;0.405706495
286.94114;63.61879;70.03627;82.14119;0.261286691;0.703902888;0.42826821;0.001628387;1.63E-02;0.086939743;1.54E-01;5.23E-51;2.43E-11;2.61E-10;0.259055749;0.009678773;0.06440933;0.563204406;7.49E-02;4.57E-43;4.86E-14;4.23E-10;0.712174183;0.023733368;0.203873776;0.175937181;1.42E-02;1.90E-48;1.20E-24;2.58E-14;0.417748913
287.89605;63.48453;69.38562;81.75266;0.201544488;0.693868464;0.440209554;0.001447394;1.41E-02;0.049135601;1.60E-01;3.53E-50;3.34E-11;3.31E-10;0.225046744;0.008733053;0.05630597;0.561467166;7.84E-02;1.51E-42;6.68E-14;5.12E-10;0.704934355;0.021264169;0.205334954;0.187949796;1.52E-02;5.48E-48;1.93E-24;3.28E-14;0.429727993
288.85097;63.34082;68.71397;81.34136;0.167635287;0.681771005;0.452856723;0.001286375;1.21E-02;0.027018438;1.67E-01;2.39E-49;4.59E-11;4.21E-10;0.207237948;0.007877354;0.049065661;0.554510211;8.21E-02;4.97E-42;9.18E-14;6.20E-10;0.693569624;0.019033516;0.205910054;0.200385642;1.62E-02;1.58E-47;3.11E-24;4.17E-14;0.441547576
