temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
384.93446,38.84175,41.49891,43.8213,0.083636553,0.173609485,0.16869698,4.62E-11,0,3.31457E-08,2.09E-03,0.011482965,0.057829205,0.07139843,5.83E-06,0,2.95E-08,0.00672302,0.021438113,0.14959436,0.17776135,1.85E-05,7.27E-06,0.159850526,0.001099327,0.004028087,0.003044411,0.168048157
385.88938,38.76567,41.31928,43.68785,0.057230182,0.155212396,0.148645593,3.81E-11,0,2.01329E-08,1.70E-03,0.009622781,0.036490458,0.047810245,5.30E-06,0,1.63E-08,0.005600956,0.017559022,0.141984473,0.165149765,1.67E-05,6.01E-06,1.36E-01,0.003051316,0.005459059,0.003850923,0.147904541
386.84429,38.74301,41.14126,43.57962,0.034787686,0.130392509,0.137587748,3.15E-11,0,1.22273E-08,1.38E-03,0.008044462,0.021600338,0.031024256,4.82E-06,0,8.96E-09,0.004659625,0.014273777,0.120465627,0.139403853,1.50E-05,4.96E-06,1.14E-01,0.0081307,0.007360657,0.004866288,0.133960128
387.79921,38.73332,40.9825,43.45149,0.016772201,0.100524904,0.131681471,2.60E-11,0,7.42496E-09,1.12E-03,0.006711439,0.012263813,0.020095963,4.38E-06,0,4.94E-09,0.003871934,0.011531254,0.087824114,0.103231684,1.35E-05,4.10E-06,9.42E-02,0.019678766,0.009857324,0.006141778,0.12992418
388.75412,38.73004,40.88951,43.31758,0.005850295,0.071564294,0.133993882,2.15E-11,0,4.50822E-09,9.10E-04,0.00558991,0.006785818,0.013285822,3.98E-06,0,2.72E-09,0.003214243,0.009268501,0.054611546,0.067098272,1.21E-05,3.39E-06,7.75E-02,0.039289393,0.013082751,0.007739533,0.137607343
389.70904,38.71371,40.85408,43.1829,7.59475E-05,0.042288628,0.141560227,1.78E-11,0,2.7369E-09,7.39E-04,0.004649282,0.003696513,0.009084584,3.62E-06,0,1.50E-09,0.002666075,0.00741913,0.029903914,0.039992736,1.09E-05,2.80E-06,6.32E-02,0.05970446,0.01716187,0.00973403,0.149838372
390.66395,38.7054,40.83228,43.04504,0.004559798,0.020414001,0.151376577,1.47E-11,0,1.66136E-09,6.00E-04,0.003862456,0.00199455,0.006456559,3.29E-06,0,8.27E-10,2.21E-03,0.005919108,0.015092147,0.02322443,9.81E-06,2.31E-06,5.13E-02,0.071018067,0.022178826,0.012212884,0.156682209
391.61887,38.69946,40.82424,42.8885,0.008380986,0.006712885,0.155806327,1.21E-11,0,1.00836E-09,4.86E-04,0.003205695,0.001069812,0.004761946,2.99E-06,0,4.56E-10,1.83E-03,0.004709806,0.00727608,0.013819587,8.82E-06,1.91E-06,4.13E-02,0.072977357,0.028131375,0.015277106,0.157734049
392.57378,38.68783,40.8218,42.73832,0.009066674,0.002223901,0.156616459,1.00E-11,0,6.11958E-10,3.95E-04,0.00265849,0.000571611,0.003624692,2.72E-06,0,2.51E-10,1.52E-03,0.003739626,0.003423343,0.008681569,7.93E-06,1.58E-06,3.32E-02,0.069869466,0.034876689,0.019039503,0.156983151
393.5287,38.67601,40.82039,42.59056,0.008713765,0.005551884,0.161454989,8.28E-12,0,3.71345E-10,3.20E-04,0.002203231,0.000304627,0.002827891,2.47E-06,0,1.39E-10,1.25E-03,0.002964272,0.001589526,0.00581097,7.13E-06,1.30E-06,2.65E-02,0.064581178,0.042087054,0.023621273,0.156846354
