temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
273.57233,0.9943793343851179,0.9080181738775591,0.5375866618005977,0.08081217343718128,2.34615216570635e-62,6.927936924191105e-13,2.0548380902408606e-11,0.9685704486402947,0.7160846465191518,0.24042090888557918,0.033162860739027335,4.771358417178335e-50,1.5561003589148614e-15,7.546894928932645e-11,0.9249672967296891,0.21302574094812088,0.046029160156631485,0.003757977805659332,1.1004442233236044e-54,2.8499571151778722e-27,2.328023023718493e-15
274.52724,0.9949987329341475,0.9194522400842317,0.5772394825990746,0.08456279100962877,1.5827523347080642e-61,9.525819539309756e-13,2.6080057011090133e-11,0.9715602090110684,0.7431733157963607,0.2661353078830596,0.03490857268422047,1.5744027135801821e-49,2.1391787218162146e-15,9.134008099824983e-11,0.93213856974198,0.22924355855669154,0.050372606178199796,0.004021559424747378,3.1790966344743005e-54,4.590268810319025e-27,2.9554179344418176e-15
275.48216,0.9955507288906226,0.9296453983491041,0.6180155853875053,0.0884804739527866,1.0690098103817232e-60,1.3094560348222749e-12,3.312467017513755e-11,0.9742795610462519,0.768779444706376,0.2933568473518316,0.036741352556854665,5.201186244375205e-49,2.9442030422090506e-15,1.1058326618640622e-10,0.938724463248253,0.24632702695703662,0.05509946830209586,0.004303778128013367,9.190045101770901e-54,7.399319637746032e-27,3.750478726479134e-15
276.43707,0.9960425021088111,0.9386918999778914,0.6597603337708544,0.09256939890092258,7.223888426211933e-60,1.8002415907196902e-12,4.2060454658392326e-11,0.9767504889415912,0.792795059927495,0.3220101619899527,0.038665553753301954,1.714978944037626e-48,4.050171033776779e-15,1.3387291554964224e-10,0.9447554041289716,0.2642721450501932,0.06023867054736671,0.004605521395656247,2.6547864205194246e-53,1.1927018529254344e-26,4.761882591179666e-15
277.39199,0.9964804951784632,0.9466882814798122,0.702263968110857,0.09682956585403665,4.877712984273061e-59,2.476494539500576e-12,5.3407482573636475e-11,0.9789936242375857,0.8151456627495605,0.35200828219851876,0.04068552966993441,5.658281764792942e-48,5.562412981430611e-15,1.6201832192297382e-10,0.9502632527003323,0.2830678500269161,0.06582044932044652,0.004928564188073919,7.669267494841724e-53,1.9220440986069966e-26,6.0437152967092174e-15
278.3469,0.9968704858153353,0.9537306108182544,0.7452152963395855,0.10129856452053869,3.284023258411082e-58,3.4071792907930828e-12,6.778038459961241e-11,0.9810282569521035,0.8357905391324656,0.3832556684447744,0.04280998709949613,1.866194926066164e-47,7.646447904316738e-15,1.9609854241975546e-10,0.9552806948818987,0.30269547098681776,0.0718762379013714,0.005273793985465332,2.2134116747694508e-52,3.099101386192092e-26,7.671696918499914e-15
279.30182,0.997217649232267,0.9599124720504183,0.7881216509883661,0.10593462855775108,2.2186061647128224e-57,4.686033877101491e-12,8.607746711294361e-11,0.9828723463730695,0.8547214299548612,0.41565112622234257,0.045038926041987115,6.152393644278464e-47,1.0512936372257585e-14,2.373724770055676e-10,0.9598406549687222,0.32312831994581803,0.07843855638256793,0.005642985748228387,6.4028606065216284e-52,4.998279709105467e-26,9.743181839250201e-15
280.25673,0.9975266191743279,0.9653216006285619,0.8301866661348177,0.11077952430835142,1.4997008976258791e-56,6.440274199681611e-12,1.0929159505621393e-10,0.9845425639742725,0.8719599865714188,0.4490900971896106,0.04737669989377942,2.0263878655008184e-46,1.4447774872869298e-14,2.872788684982162e-10,0.9639758234033026,0.34433129187266476,0.08554082735839642,0.00603791443676098,1.8510475166316924e-51,8.052851688544088e-26,1.237175017210827e-14
281.21165,0.9978015399364633,0.9700438557364649,0.8701691903777264,0.11583325177233969,1.012277956751998e-55,8.850680749791702e-12,1.3874658835286856e-10,0.9860543313172462,0.8875539948867702,0.48346623941197053,0.04983201544761714,6.6950473924151376e-46,1.9864760954017356e-14,3.475262239938461e-10,0.9677182238300869,0.3662606207819803,0.09321719774042508,0.006460355011461014,5.344040743616884e-51,1.2977717149482954e-25,1.5708842067938368e-14
282.16656,0.9980461172956958,0.9741528309602246,0.9063389867989755,0.1210958109497159,6.839104666662322e-55,1.2164989756193073e-11,1.7614450119019408e-10,0.9874218809832167,0.9015729966955809,0.518671796745771,0.052409226099872336,2.2125362777979414e-45,2.730559322381656e-14,4.2081218627584356e-10,0.9710988930558568,0.3888636725536674,0.10150227804362462,0.006912969912925334,1.543729111116305e-50,2.0921048538094027e-25,1.9943757715320812e-14
